sketchpad,output,flag,username,timestamp
"{""background"":{""path"":""flagged/sketchpad/8e0e2d734d069859293a/background.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/d0b0e0d125e4fdaed3846375fae0b0c75b354b6b/background.png"",""size"":9708,""orig_name"":""background.png"",""mime_type"":""""},""layers"":[{""path"":""flagged/sketchpad/8edd552a0a9ccd10d60e/layer_0.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/62a5591b4bd21b01ac5abc7b25c9574bac64cee7/layer_0.png"",""size"":13745,""orig_name"":""layer_0.png"",""mime_type"":""""}],""composite"":{""path"":""flagged/sketchpad/7e3996bc0f80b9d9375a/composite.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/62a5591b4bd21b01ac5abc7b25c9574bac64cee7/composite.png"",""size"":13745,""orig_name"":""composite.png"",""mime_type"":""""}}","{""label"":null,""confidences"":null}",,,2023-12-05 23:39:48.707678
"{""background"":{""path"":""flagged/sketchpad/5b80ebb99db517833137/background.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/b13765cdab528b3097ef445b4c5a4dfbeab685f4/background.png"",""size"":7671,""orig_name"":""background.png"",""mime_type"":""""},""layers"":[{""path"":""flagged/sketchpad/328d0b782fa36ceb5a4c/layer_0.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/330b164d92ba092b2c8c608dca5b88be54f62280/layer_0.png"",""size"":11063,""orig_name"":""layer_0.png"",""mime_type"":""""}],""composite"":{""path"":""flagged/sketchpad/5ca562bd81dedcd6cf1f/composite.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/330b164d92ba092b2c8c608dca5b88be54f62280/composite.png"",""size"":11063,""orig_name"":""composite.png"",""mime_type"":""""}}","{""label"":null,""confidences"":null}",,,2023-12-08 12:44:07.704685
